Geo Point;Geo Shape;ins_nom;ins_com;ins_insee;eqt_nb;objectid;ins_id;ins_interc;ins_partic
48.7963060013,3.37169099997;"{""type"": ""Point"", ""coordinates"": [3.371690999970174, 48.79630600126094]}";CRINIERE DANS LE VENT;La Chapelle-Moutils;77093;4;1;77093000;des Deux Morin;Non
48.8618100009,2.34678999983;"{""type"": ""Point"", ""coordinates"": [2.346789999834475, 48.8618100009488]}";CENTRE D'ANIMATION LES HALLES - LE MARAIS;Paris 1er Arrondissement;75101;1;8;750560008;Paris (T1);Non
48.866580001,2.3452700003;"{""type"": ""Point"", ""coordinates"": [2.345270000295931, 48.866580001027806]}";CENTRE SPORTIF JEAN DAME;Paris 2e  Arrondissement;75102;5;11;750560011;Paris (T1);Non
48.8663700009,2.35870999933;"{""type"": ""Point"", ""coordinates"": [2.358709999328058, 48.866370000928654]}";LYCEE TURGOT;Paris 3e  Arrondissement;75103;4;17;750560017;Paris (T1);Etablissement scolaire
48.8636600013,2.35264999972;"{""type"": ""Point"", ""coordinates"": [2.352649999724299, 48.86366000131775]}";ECOLE SAINT MARTIN;Paris 3e  Arrondissement;75103;2;23;750560023;Paris (T1);Etablissement scolaire
48.8532833345,2.3630866671;"{""type"": ""Point"", ""coordinates"": [2.363086667096206, 48.85328333445991]}";TEP NEUVE SAINT PIERRE;Paris 4e  Arrondissement;75104;3;27;750560027;Paris (T1);Non
48.8526900013,2.36088000057;"{""type"": ""Point"", ""coordinates"": [2.360880000572808, 48.85269000130244]}";CLUB SAINT PAUL;Paris 4e  Arrondissement;75104;1;38;750560038;Paris (T1);Non
48.8467900009,2.32581999955;"{""type"": ""Point"", ""coordinates"": [2.325819999553086, 48.84679000085697]}";LYCEE SAINT NICOLAS;Paris 6e  Arrondissement;75106;1;77;750560087;Paris (T1);Etablissement scolaire
48.8452100013,2.3288499998;"{""type"": ""Point"", ""coordinates"": [2.328849999800654, 48.84521000134561]}";LYCEE CARCADO SOISSEVAL;Paris 6e  Arrondissement;75106;1;79;750560090;Paris (T1);Etablissement scolaire
48.8571300012,2.30967999978;"{""type"": ""Point"", ""coordinates"": [2.309679999777422, 48.85713000124571]}";STUDIO MAUBOURG;Paris 7e  Arrondissement;75107;1;93;750560104;Paris (T1);Non
